school,ses,mathach,female,minority,minority_mean,female_mean,ses_mean,sector,size,acad,discrm
1499,-0.678,5.608,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.158,18.352,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.468,5.949,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.148,-1.462,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.928,4.087,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.218,10.258,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,0.662,21.791,0,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.228,1.365,0,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.368,1.73,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,0.342,5.093,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,0.692,17.572,0,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.898,11.211,0,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.578,6.018,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-1.178,6.394,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-1.608,14.681,0,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-1.048,11.868,0,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,0.382,2.404,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.958,2.042,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,0.432,11.685,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-1.808,-0.818,0,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-1.068,6.718,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.008,13.72,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,0.222,21.907,0,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.498,-2.195,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.258,8.519,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-1.788,1.679,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.648,-1.744,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-0.178,6.795,1,0,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
1499,-1.078,4.179,1,1,0.4339622641509434,0.6226415094339622,-0.4659245283018868,0,1921,0.09,0.682
